Ticker,Sector,Drawdown from ATH (%)
AIG,Financial,-96.36
PSKY,Communication Services,-90.23
CHTR,Communication Services,-85.88
MOS,Basic Materials,-85.07
PYPL,Financial,-83.07
PCG,Utilities,-82.66
FISV,Technology,-80.74
LULU,Consumer Cyclical,-80.19
ALGN,Healthcare,-79.91
NKE,Consumer Cyclical,-79.87
AES,Utilities,-79.66
FIS,Technology,-78.09
NCLH,Consumer Cyclical,-77.94
C,Financial,-77.69
VTRS,Healthcare,-77.68
ARE,Real Estate,-76.95
WY,Real Estate,-75.69
KHC,Consumer Defensive,-75.67
BAX,Healthcare,-75.32
APTV,Consumer Cyclical,-75.02
KDP,Consumer Defensive,-74.92
XYZ,Technology,-74.18
LVS,Consumer Cyclical,-73.66
EL,Consumer Defensive,-73.59
CSGP,Real Estate,-72.03
ZTS,Healthcare,-71.27
APA,Energy,-70.72
CCL,Consumer Cyclical,-70.01
IT,Technology,-69.43
BF-B,Consumer Defensive,-68.48
WYNN,Consumer Cyclical,-67.33
CCI,Real Estate,-66.54
CIEN,Technology,-66.33
SMCI,Technology,-66.28
ALB,Basic Materials,-66.08
AKAM,Technology,-65.72
ADBE,Technology,-65.59
F,Consumer Cyclical,-65.31
CLX,Consumer Defensive,-65.01
DECK,Consumer Cyclical,-64.91
INTU,Technology,-64.75
HRL,Consumer Defensive,-63.85
FICO,Technology,-63.39
MRNA,Healthcare,-63.39
MGM,Consumer Cyclical,-62.34
DVN,Energy,-62.30
GNRC,Industrials,-61.97
GPN,Technology,-61.96
PODD,Healthcare,-61.54
CMCSA,Communication Services,-61.07
WBD,Communication Services,-60.63
GIS,Consumer Defensive,-60.59
DOW,Basic Materials,-60.13
DOC,Real Estate,-59.89
BSX,Healthcare,-59.25
SWK,Industrials,-59.22
UPS,Industrials,-59.00
ERIE,Financial,-58.73
KIM,Real Estate,-58.56
ORCL,Technology,-58.19
BXP,Real Estate,-57.82
APP,Communication Services,-57.72
STZ,Consumer Defensive,-57.59
LEN,Consumer Cyclical,-56.55
SBAC,Real Estate,-56.40
SLB,Energy,-56.32
ACN,Technology,-56.03
HAL,Energy,-55.59
COIN,Financial,-55.44
GDDY,Technology,-55.38
BA,Industrials,-55.17
SWKS,Technology,-55.17
CPRT,Industrials,-55.16
KEY,Financial,-54.90
PFE,Healthcare,-54.33
MKC,Consumer Defensive,-54.27
DG,Consumer Defensive,-54.01
TROW,Financial,-53.43
CMG,Consumer Cyclical,-52.77
ILMN,Healthcare,-52.76
BIIB,Healthcare,-52.62
COO,Healthcare,-51.62
PNR,Industrials,-51.51
BRO,Financial,-50.91
ROL,Consumer Cyclical,-50.88
LYB,Basic Materials,-50.82
HBAN,Financial,-50.21
EFX,Industrials,-49.84
TYL,Technology,-49.72
TSCO,Consumer Cyclical,-49.54
OXY,Energy,-49.21
MAA,Real Estate,-49.15
AXON,Industrials,-49.14
DIS,Communication Services,-49.04
TSN,Consumer Defensive,-49.01
ZBH,Healthcare,-48.10
FE,Utilities,-48.04
DPZ,Consumer Cyclical,-47.77
NRG,Utilities,-46.98
VRSK,Industrials,-46.80
DXCM,Healthcare,-46.79
NFLX,Communication Services,-46.79
TECH,Healthcare,-46.66
RDDT,Communication Services,-46.29
LII,Industrials,-45.99
CPT,Real Estate,-45.84
IFF,Basic Materials,-45.55
HONA,Industrials,-45.10
ON,Technology,-45.08
BEN,Financial,-44.96
UDR,Real Estate,-44.66
CDW,Technology,-44.50
T,Communication Services,-44.11
FDS,Financial,-44.10
AMT,Real Estate,-43.77
IP,Consumer Cyclical,-43.68
GLW,Technology,-43.16
TPL,Energy,-43.07
KKR,Financial,-42.95
BALL,Consumer Cyclical,-42.76
BKR,Energy,-42.14
HST,Real Estate,-41.96
TGT,Consumer Defensive,-41.91
EXR,Real Estate,-41.51
PPG,Basic Materials,-41.41
HII,Industrials,-41.35
NOW,Technology,-41.25
INVH,Real Estate,-41.20
UNH,Healthcare,-41.13
WDC,Technology,-40.78
BX,Financial,-40.65
FDXF,Industrials,-40.39
FSLR,Technology,-40.19
TMUS,Communication Services,-40.08
BR,Technology,-39.89
IVZ,Financial,-39.84
CRL,Healthcare,-39.74
EIX,Utilities,-39.72
ZBRA,Technology,-39.67
ARES,Financial,-39.41
LDOS,Technology,-39.40
HSY,Consumer Defensive,-39.16
KMB,Consumer Defensive,-39.00
KLAC,Technology,-38.88
LUV,Industrials,-38.74
TRMB,Technology,-38.52
ROP,Technology,-38.44
WDAY,Technology,-38.20
EXC,Utilities,-38.08
AOS,Industrials,-37.54
NVR,Consumer Cyclical,-37.36
PPL,Utilities,-37.31
VST,Utilities,-37.24
RCL,Consumer Cyclical,-37.16
AMCR,Consumer Cyclical,-37.11
ECHO,Communication Services,-37.03
CNC,Healthcare,-36.99
ADSK,Technology,-36.95
LHX,Industrials,-36.92
CTSH,Technology,-36.73
SNPS,Technology,-36.62
KVUE,Consumer Defensive,-36.43
DLTR,Consumer Defensive,-36.14
PTC,Technology,-36.09
CEG,Utilities,-36.06
FRT,Real Estate,-36.06
OTIS,Industrials,-36.05
BBY,Consumer Cyclical,-36.04
AMAT,Technology,-35.87
CASY,Consumer Cyclical,-35.62
CRM,Technology,-35.62
ISRG,Healthcare,-35.34
CRH,Basic Materials,-35.21
AZO,Consumer Cyclical,-35.20
PAYX,Technology,-35.20
VMRK,Real Estate,-35.02
ES,Utilities,-34.71
LOW,Consumer Cyclical,-34.70
AJG,Financial,-34.62
VRT,Industrials,-34.52
HUM,Healthcare,-34.40
APO,Financial,-34.37
CVNA,Consumer Cyclical,-34.33
MDT,Healthcare,-34.29
EW,Healthcare,-34.09
PEP,Consumer Defensive,-33.88
CARR,Industrials,-33.87
REGN,Healthcare,-33.80
DASH,Consumer Cyclical,-33.71
VICI,Real Estate,-33.59
NOC,Industrials,-33.54
BKNG,Consumer Cyclical,-33.26
TPR,Consumer Cyclical,-32.94
D,Utilities,-32.70
FLEX,Technology,-32.70
SYK,Healthcare,-32.69
HD,Consumer Cyclical,-32.47
O,Real Estate,-32.42
IDXX,Healthcare,-32.20
PSA,Real Estate,-32.02
ABNB,Consumer Cyclical,-31.99
TDG,Industrials,-31.93
UBER,Technology,-31.93
TFC,Financial,-31.83
AON,Financial,-31.81
HAS,Consumer Cyclical,-31.80
COHR,Technology,-31.68
GPC,Consumer Cyclical,-31.41
MRSH,Financial,-31.30
EXE,Energy,-31.26
MLM,Basic Materials,-31.02
NXPI,Technology,-30.74
PGR,Financial,-30.67
GEHC,Healthcare,-30.28
MCD,Consumer Cyclical,-30.26
JKHY,Technology,-30.24
RVTY,Healthcare,-30.05
RF,Financial,-30.04
IBM,Technology,-29.99
LRCX,Technology,-29.92
DHI,Consumer Cyclical,-29.86
AWK,Utilities,-29.84
KMI,Energy,-29.84
Q,Technology,-29.77
ELV,Healthcare,-29.74
XYL,Industrials,-29.58
ODFL,Industrials,-29.48
OMC,Communication Services,-29.45
PEG,Utilities,-29.31
CMI,Industrials,-28.89
CHRW,Industrials,-28.84
MCHP,Technology,-28.68
AVGO,Technology,-28.28
IR,Industrials,-28.11
JBL,Technology,-28.02
CI,Healthcare,-27.66
CBOE,Financial,-27.56
ABT,Healthcare,-27.43
UHS,Healthcare,-26.36
RMD,Healthcare,-26.23
HWM,Industrials,-26.20
VMC,Basic Materials,-26.18
AVY,Consumer Cyclical,-26.05
DVA,Healthcare,-26.00
FITB,Financial,-25.84
CDNS,Technology,-25.82
SPGI,Financial,-25.80
